Player,Age,Team,Pos,PosH,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,AST/G,TOV/AST,MPPG,FP,FPPG,FPPM
Nikola Jokić,29,DEN,C,C,70,70,2571,786,1364,0.58,138,331,0.417,648,1033,0.627,361,451,200,692,716,127,45,230,10.23,0.32,37,4045,57.8,1.57
Shai Gilgeous-Alexander,26,OKC,PG,G,76,76,2598,860,1656,0.52,163,435,0.375,697,1221,0.571,601,669,67,312,486,131,77,183,6.39,0.38,34,3486.5,45.9,1.34
Giannis Antetokounmpo,30,MIL,PF,F,67,67,2289,793,1319,0.60,14,63,0.222,779,1256,0.62,436,707,147,651,433,58,78,206,6.46,0.48,34,3235,48.3,1.41
Trae Young,26,ATL,PG,G,76,76,2739,566,1376,0.41,218,642,0.34,348,734,0.474,491,561,36,200,880,91,12,355,11.58,0.40,36,2911,38.3,1.06
James Harden,35,LAC,PG,G,79,79,2789,531,1295,0.41,235,668,0.352,296,627,0.472,505,578,55,401,687,118,55,341,8.70,0.50,35,2905,36.8,1.04
Domantas Sabonis,28,SAC,C,C,70,70,2429,527,893,0.59,65,156,0.417,462,737,0.627,218,289,267,705,423,48,26,202,6.04,0.48,35,2814,40.2,1.16
Jayson Tatum,26,BOS,PF,F,72,72,2624,662,1465,0.45,250,728,0.343,412,737,0.559,358,440,48,575,431,76,38,209,5.99,0.48,36,2808.5,39.0,1.07
LeBron James,40,LAL,SF,F,70,70,2444,651,1270,0.51,149,396,0.376,502,874,0.574,259,331,72,474,575,70,39,260,8.21,0.45,35,2794.5,39.9,1.14
Cade Cunningham,23,DET,PG,G,70,70,2452,684,1457,0.47,149,418,0.356,535,1039,0.515,313,370,56,369,638,71,53,309,9.11,0.48,35,2774,39.6,1.13
Tyrese Haliburton,24,IND,PG,G,73,73,2451,476,1006,0.47,218,562,0.388,258,444,0.581,189,222,42,216,673,105,49,120,9.22,0.18,34,2770.5,38.0,1.13
Karl-Anthony Towns,29,NYK,C,C,72,72,2517,639,1215,0.53,142,338,0.42,497,877,0.567,339,409,212,708,222,71,50,192,3.08,0.86,35,2764,38.4,1.10
Ivica Zubac,27,LAC,C,C,80,80,2624,592,942,0.63,0,0,,592,942,0.628,156,236,300,710,214,55,90,127,2.68,0.59,33,2749,34.4,1.05
Anthony Edwards,23,MIN,SG,G,79,79,2871,721,1612,0.45,320,811,0.395,401,801,0.501,415,496,61,389,359,91,51,249,4.54,0.69,36,2675.5,33.9,0.93
Alperen Şengün,22,HOU,C,C,76,76,2395,567,1143,0.50,21,90,0.233,546,1053,0.519,296,428,262,524,372,84,61,194,4.89,0.52,32,2660,35.0,1.11
Devin Booker,28,PHO,SG,G,75,75,2795,654,1420,0.46,183,551,0.332,471,869,0.542,432,483,76,229,529,67,16,220,7.05,0.42,37,2641.5,35.2,0.95
Bam Adebayo,27,MIA,C,C,78,78,2674,540,1113,0.49,79,221,0.357,461,892,0.517,251,328,185,564,337,98,53,161,4.32,0.48,34,2580.5,33.1,0.97
Josh Hart,29,NYK,SG,G,77,77,2897,404,770,0.53,84,252,0.333,320,518,0.618,159,205,161,576,453,119,27,158,5.88,0.35,38,2544.5,33.0,0.88
Tyler Herro,25,MIA,SG,G,77,77,2725,651,1378,0.47,251,670,0.375,400,708,0.565,287,327,35,364,424,69,17,198,5.51,0.47,35,2497,32.4,0.92
Nikola Vučević,34,CHI,C,C,73,72,2278,550,1038,0.53,129,321,0.402,421,717,0.587,120,149,178,557,256,61,52,119,3.51,0.46,31,2414.5,33.1,1.06
Pascal Siakam,30,IND,PF,F,78,78,2548,613,1182,0.52,126,324,0.389,487,858,0.568,226,308,133,407,263,70,42,109,3.37,0.41,33,2391,30.7,0.94
Stephen Curry,36,GSW,PG,G,70,70,2252,564,1258,0.45,311,784,0.397,253,474,0.534,279,299,40,270,421,80,30,200,6.01,0.48,32,2353,33.6,1.04
Evan Mobley,23,CLE,PF,F,71,71,2167,505,906,0.56,85,230,0.37,420,676,0.621,221,305,164,495,226,61,113,145,3.18,0.64,31,2324.5,32.7,1.07
DeMar DeRozan,35,SAC,SF,F,77,77,2768,624,1308,0.48,84,256,0.328,540,1052,0.513,378,441,50,248,342,62,32,105,4.44,0.31,36,2321.5,30.1,0.84
Jalen Brunson,28,NYK,PG,G,65,65,2301,585,1200,0.49,152,397,0.383,433,803,0.539,368,448,27,160,475,60,8,164,7.31,0.35,35,2301,35.4,1.00
Jarrett Allen,26,CLE,C,C,82,82,2296,452,640,0.71,0,5,0,452,635,0.712,199,277,216,582,158,77,73,97,1.93,0.61,28,2298,28.0,1.00
Darius Garland,25,CLE,PG,G,75,75,2301,554,1174,0.47,212,529,0.401,342,645,0.53,224,255,47,167,506,91,11,189,6.75,0.37,31,2294,30.6,1.00
Donovan Mitchell,28,CLE,SG,G,71,71,2232,585,1320,0.44,233,633,0.368,352,687,0.512,298,362,57,265,354,95,17,149,4.99,0.42,31,2286,32.2,1.02
Jalen Williams,23,OKC,SG,G,69,69,2237,565,1168,0.48,124,340,0.365,441,828,0.533,236,299,59,310,354,111,46,150,5.13,0.42,32,2277.5,33.0,1.02
Josh Giddey,22,CHI,PG,G,70,69,2117,371,798,0.47,105,278,0.378,266,520,0.512,175,224,127,439,503,84,45,202,7.19,0.40,30,2273.5,32.5,1.07
Dyson Daniels,21,ATL,SG,G,76,76,2571,455,923,0.49,80,235,0.34,375,688,0.545,83,140,124,325,333,229,55,155,4.38,0.47,34,2245.5,29.5,0.87
Austin Reaves,26,LAL,SG,G,73,73,2550,477,1037,0.46,200,531,0.377,277,506,0.547,321,366,61,268,421,81,22,177,5.77,0.42,35,2226,30.5,0.87
Jamal Murray,27,DEN,PG,G,67,67,2418,531,1121,0.47,156,397,0.393,375,724,0.518,218,246,45,216,403,91,33,138,6.01,0.34,36,2188.5,32.7,0.91
Scottie Barnes,23,TOR,PF,F,65,65,2134,474,1063,0.45,76,280,0.271,398,783,0.508,228,302,109,393,378,93,63,185,5.82,0.49,33,2175,33.5,1.02
Jalen Duren,21,DET,C,C,78,78,2034,378,546,0.69,0,0,,378,546,0.692,162,242,277,530,209,54,89,136,2.68,0.65,26,2171.5,27.8,1.07
Jaren Jackson Jr.,25,MEM,C,C,74,74,2207,592,1213,0.49,146,389,0.375,446,824,0.541,311,398,91,326,148,92,113,153,2.00,1.03,30,2149.5,29.0,0.97
Luka Dončić,25,2TM,PG,G,50,50,1769,461,1025,0.45,177,481,0.368,284,544,0.522,309,395,40,369,383,89,21,179,7.66,0.47,35,2140,42.8,1.21
Kevin Durant,36,PHO,PF,F,62,62,2265,592,1124,0.53,160,372,0.43,432,752,0.574,303,361,23,351,263,50,77,190,4.24,0.72,37,2137.5,34.5,0.94
Anthony Davis,31,2TM,C,C,51,51,1706,470,910,0.52,35,124,0.282,435,786,0.553,286,369,134,456,181,59,110,113,3.55,0.62,33,2130.5,41.8,1.25
Desmond Bane,26,MEM,SG,G,69,68,2205,493,1018,0.48,164,418,0.392,329,600,0.548,177,198,62,356,369,80,28,169,5.35,0.46,32,2119,30.7,0.96
De'Aaron Fox,27,2TM,PG,G,62,62,2241,539,1163,0.46,118,381,0.31,421,782,0.538,263,318,54,244,392,91,25,174,6.32,0.44,36,2112.5,34.1,0.94
Derrick White,30,BOS,SG,G,76,76,2574,424,959,0.44,265,691,0.384,159,268,0.593,135,161,67,274,361,72,80,131,4.75,0.36,34,2106,27.7,0.82
Damian Lillard,34,MIL,PG,G,58,58,2093,444,992,0.45,197,524,0.376,247,468,0.528,362,393,29,243,410,70,10,162,7.07,0.40,36,2100,36.2,1.00
Zach LaVine,29,2TM,SG,G,74,74,2602,625,1223,0.51,239,536,0.446,386,687,0.562,235,285,22,293,310,58,12,208,4.19,0.67,35,2070,28.0,0.80
Chris Paul,39,SAS,PG,G,82,82,2292,249,583,0.43,140,371,0.377,109,212,0.514,85,92,33,263,605,103,22,129,7.38,0.21,28,2067,25.2,0.90
Amen Thompson,22,HOU,SF,F,69,42,2225,388,697,0.56,25,91,0.275,363,606,0.599,169,247,192,372,265,97,89,138,3.84,0.52,32,2062.5,29.9,0.93
Rudy Gobert,32,MIN,C,C,72,72,2388,341,510,0.67,0,0,,341,510,0.669,184,273,265,520,127,56,104,89,1.76,0.70,33,2050.5,28.5,0.86
Jalen Green,22,HOU,SG,G,82,82,2697,608,1437,0.42,234,661,0.354,374,776,0.482,273,336,45,332,282,71,27,203,3.44,0.72,33,2030.5,24.8,0.75
Michael Porter Jr.,26,DEN,SF,F,77,77,2593,528,1048,0.50,193,489,0.395,335,559,0.599,149,194,138,402,165,50,38,104,2.14,0.63,34,2022.5,26.3,0.78
Mikal Bridges,28,NYK,SF,F,82,82,3036,592,1183,0.50,164,463,0.354,428,720,0.594,96,118,71,188,306,75,43,132,3.73,0.43,37,2016,24.6,0.66
Onyeka Okongwu,24,ATL,C,C,74,40,2064,388,684,0.57,48,148,0.324,340,536,0.634,164,216,220,440,168,69,68,90,2.27,0.54,28,2014,27.2,0.98
Christian Braun,23,DEN,SG,G,79,77,2675,476,821,0.58,89,224,0.397,387,597,0.648,177,214,98,312,205,85,37,81,2.59,0.40,34,1978,25.0,0.74
Franz Wagner,23,ORL,SF,F,60,60,2023,537,1161,0.46,104,352,0.295,433,809,0.535,271,311,56,286,284,75,21,138,4.73,0.49,34,1971,32.9,0.97
Julius Randle,30,MIN,PF,F,69,69,2226,455,939,0.49,108,314,0.344,347,625,0.555,270,335,144,343,323,47,16,196,4.68,0.61,32,1952.5,28.3,0.88
Coby White,24,CHI,SG,G,74,73,2450,508,1121,0.45,216,584,0.37,292,537,0.544,277,307,25,248,330,69,16,177,4.46,0.54,33,1949,26.3,0.80
OG Anunoby,27,NYK,PF,F,74,74,2706,489,1027,0.48,171,460,0.372,318,567,0.561,183,226,97,261,164,110,65,102,2.22,0.62,37,1922,26.0,0.71
Victor Wembanyama,21,SAS,C,C,46,46,1527,408,857,0.48,142,403,0.352,266,454,0.586,158,189,82,424,168,52,176,149,3.65,0.89,33,1917,41.7,1.26
Deni Avdija,24,POR,SF,F,72,54,2161,402,844,0.48,125,342,0.365,277,502,0.552,290,372,110,412,281,71,35,196,3.90,0.70,30,1916,26.6,0.89
Jaylen Brown,28,BOS,SF,F,63,63,2158,518,1118,0.46,116,358,0.324,402,760,0.529,246,322,82,286,286,73,19,162,4.54,0.57,34,1901,30.2,0.88
Miles Bridges,26,CHO,PF,F,64,64,2029,469,1089,0.43,141,450,0.313,328,639,0.513,221,254,72,409,248,44,45,136,3.88,0.55,32,1892.5,29.6,0.93
Russell Westbrook,36,DEN,PG,G,75,36,2092,373,831,0.45,94,291,0.323,279,540,0.517,154,233,102,268,457,106,37,242,6.09,0.53,28,1862.5,24.8,0.89
Tyrese Maxey,24,PHI,PG,G,52,52,1960,477,1091,0.44,161,478,0.337,316,613,0.515,254,289,15,159,317,91,21,124,6.10,0.39,38,1836,35.3,0.94
